County,County/district,Facility,Lat,Long,VL_Facility_Type
Uganda,Amudat,Amudat Hospital,1.95376253,34.94321174,Diagnosis and Treatment
Uganda,Moroto,Moroto RRH ,2.531881097,34.65687634,Diagnosis and Treatment
Uganda,Napak,Matany (St. Kizito) Hospital ,2.442398898,34.39425337,Diagnosis and Treatment
Uganda,Kaabong,Kaabong Hospital ,3.512440762,34.13368652,Diagnosis and Treatment
