Health_Facilities,has_diagnosis,has_treatment,Counties.in.Kenya,Subcounty,VL_Facility_Type,level,facility_type,kmhfr_county,kmhfr_sub_county,kmhfr_ward,latitude,longitude,description,total_inpatient_beds,general_inpatient_beds,cots,maternity_beds,emergency_casualty_beds,icu_beds,hdu_beds,isolation_beds,general_theatres,maternity_theatres,services
Katilu Health Centre,TRUE,TRUE,Turkana,Turkana South,Diagnosis and Treatment,4,primary care hospitals,turkana,aroo,katilu,2.274548828,35.42601386,situated in katilu trading centre,16,0,2,12,0,0,0,0,0,1,"basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), tuberculosis treatment (tuberculosis treatments), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), postnatal care services (postnatal care services), general outpatient (curative services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), minor theatre services (theatre services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), hospital - retail services (pharmacy services), hiv counselling & testing (hiv/aids prevention and care services), genexpert (tuberculosis diagnosis), focused antenatal care (antenatal care), multi-drug resistant tuberculosis treatment (tuberculosis treatments), condom distribution & sti prevention (hiv/aids prevention and care services), class f (laboratory services), class e (laboratory services), class d (laboratory services), class c (laboratory services), class b (laboratory services), class a (laboratory services), basic services for gender based violence survivors (services for gender based violence survivors), basic obstetric care (bmoc) (maternity services)"
Kerio Health Centre,TRUE,TRUE,Turkana,Kerio ,Diagnosis and Treatment,3,basic health centre,turkana,turkana central,kerio delta,3.001534925,36.03327725,kerio trading centre,0,40,0,0,0,0,0,0,0,0,"tt toxoid for pregnant women (immunisation), short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), permanent (family planning), general outpatient (curative services), new born care service (newborn care service), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), focused antenatal care (antenatal care), condom distribution & sti prevention (hiv/aids prevention and care services)"
Kimalel Health Centre,TRUE,TRUE,Baringo,Baringo South,Diagnosis and Treatment,3,basic health centre,baringo,marigat,marigat,0.465220326,35.89175361,10 km from marigat on the kabarnet road,17,0,0,0,0,0,0,0,0,0,"tuberculosis treatment (tuberculosis treatments), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), general outpatient (curative services), new born care service (newborn care service), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), hospital - retail services (pharmacy services), focused antenatal care (antenatal care), class a (laboratory services), basic obstetric care (bmoc) (maternity services), ambulatory services (ambulatory services)"
Kutulo Sub county Hospital,TRUE,TRUE,Mandera,Mandera South,Diagnosis and Treatment,4,secondary care hospitals,mandera,kutulo,kutulo,2.44535,40.6522,next the market,15,0,0,10,0,0,0,0,0,0,"ophthalmic services (ophthalmic services1), minor theatre services (theatre services), maternity services (theatre services), integrated management of acute malnutrition (nutrition services), growth monitoring (nutrition services), general radiography services (radiology and imaging), facility offering blood transfusion service (blood services), facility accredited by nhif (nhif accreditation status), multi-drug resistant tuberculosis treatment (tuberculosis treatments), basic yfs-service to the youth offered alongside other services (youth friendly services), basic physiotherapy (physio therapy), basic- perform basic neonatal resuscitation (newborn care service), basic obstetric care (bmoc) (maternity services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services), tuberculosis treatment (tuberculosis treatments), tt toxoid for pregnant women (immunisation), short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), general outpatient (curative services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), focused antenatal care (antenatal care), class b (laboratory services), class a (laboratory services)"
Laisamis Sub county Referral Hospital,TRUE,TRUE,Marsabit,Laisamis,Diagnosis and Treatment,4,primary care hospitals,marsabit,laisamis,laisamis,1.616764365,37.80738155,-,14,0,4,0,0,0,0,0,0,0,"general outpatient (curative services), inpatient (curative services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Lodwar County Referral Hospital,TRUE,TRUE,Turkana,Turkana Central,Diagnosis and Treatment,4,primary care hospitals,turkana,turkana central,lodwar township,3.12270212,35.60115799,located on the main lodwar-kakuma-lokichoggio highway,211,0,0,0,0,0,0,0,0,0,"utra-sound (radiology and imaging), stand alone - wholesale services (pharmacy services), stand alone - retail services (pharmacy services), screening using via/vili (cancer screening), permanent (family planning), orthopaedic surgeries (orthopaedic technology services), orthopaedic procedures (orthopaedic technology services), maternity services (theatre services), icu services (icu services), high depedency services (high dependency services), general emergency services (accident and emergency casualty services), fine needle aspiration (tuberculosis diagnosis), class f (laboratory services), class e (laboratory services), class d (laboratory services), breast (cancer screening), barium meal (radiology and imaging), xray (tuberculosis diagnosis), vaccination services given to travellers (immunisation), tuberculosis treatment (tuberculosis treatments), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), specialised dental services (dental services), specialised anc -high risk pregnancy (antenatal care), smear microscopy (tuberculosis diagnosis), skin clinic (specialized outpatients clinic), short acting method (family planning), satellite blood transfusion service (blood services), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), paediatric outpatient clinic (specialized outpatients clinic), general outpatient (curative services), othorpaedic basic services (rehabilitation services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), minor theatre services (theatre services), medical outpatient clinic (specialized outpatients clinic), general theatre services (theatre services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), gynaecology out-patient clinic (specialized outpatients clinic), general radiography services (radiology and imaging), genexpert (tuberculosis diagnosis), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), ear, nose and throat services (specialized outpatients clinic), multi-drug resistant tuberculosis treatment (tuberculosis treatments), ct scans (radiology and imaging), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive services for gender- based- violence survivors (services for gender based violence survivors), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive emergency preparedness -basic life support (emergency preparedness), class c (laboratory services), class b (laboratory services), class a (laboratory services), blood bank (blood services), basic services for gender based violence survivors (services for gender based violence survivors), basic physiotherapy (physio therapy), basic occupational therapy-all (occupational therapy), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Lokichar Health Centre,TRUE,TRUE,Turkana,Turkana South,Diagnosis and Treatment,3,basic health centre,turkana,turkana south,lokichar,2.41696,35.7151,next to dc's residence,30,0,5,8,0,0,0,0,0,0,"youth - friendly services (youth friendly services), tt toxoid for pregnant women (immunisation), short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), general outpatient (curative services), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care), condom distribution & sti prevention (hiv/aids prevention and care services), class b (laboratory services), basic services for gender based violence survivors (services for gender based violence survivors), basic obstetric care (bmoc) (maternity services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Lokichoggio (AIC) Health Centre,TRUE,TRUE,Turkana,Lokichoggio ,Diagnosis and Treatment,3,basic health centre,turkana,lokichoggio,lokichoggio,4.202181796,34.35879209,-,10,0,2,0,0,0,0,0,0,0,"general outpatient (curative services), ophthalmic services (ophthalmic services1), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), inpatient (curative services), growth monitoring (nutrition services), focused antenatal care (antenatal care), multi-drug resistant tuberculosis treatment (tuberculosis treatments), class a (laboratory services), basic yfs-service to the youth offered alongside other services (youth friendly services), basic obstetric care (bmoc) (maternity services), basic imci-management of acute infections (integrated management of childhood illness)"
Lokwar Dispensary (Turkana South),TRUE,TRUE,Turkana,Lokwar ,Diagnosis and Treatment,,,,,,3.115778821,35.60420788,,,,,,,,,,,,
Lokwii Health Centre,TRUE,TRUE,Turkana,Lokwii,Diagnosis and Treatment,3,basic health centre,turkana,turkana east,lokori/kochodin,1.984445452,36.10553838,located along morulem lotubae road,0,6,2,4,0,0,0,0,0,0,"youth - friendly services (youth friendly services), tuberculosis treatment (tuberculosis treatments), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), general outpatient (curative services), new born care service (newborn care service), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care)"
Lopiding Sub county Hospital,TRUE,TRUE,Turkana,Nanam ,Diagnosis and Treatment,4,primary care hospitals,turkana,lokichoggio,nanaam,4.203316782,34.38374901,mogila hills,40,0,2,0,0,0,0,0,0,0,"xray (tuberculosis diagnosis), vaccination services given to travellers (immunisation), utra-sound (radiology and imaging), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), specialised x-ray (radiology and imaging), specialised dental services (dental services), specialised anc -high risk pregnancy (antenatal care), smear microscopy (tuberculosis diagnosis), short acting method (family planning), permanent (family planning), general outpatient (curative services), ophthalmic services (ophthalmic services1), natural (family planning), mri (radiology and imaging), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), general radiography services (radiology and imaging), focused antenatal care (antenatal care), ct scans (radiology and imaging), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), class b (laboratory services), class a (laboratory services), basic obstetric care (bmoc) (maternity services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Lorugum Health Centre,TRUE,TRUE,Turkana,Loima,Diagnosis and Treatment,4,primary care hospitals,turkana,loima,turkwel,2.876,35.2565,located near lorugum resource centre,100,93,0,7,0,0,0,0,0,1,"tt toxoid for pregnant women (immunisation), stand alone - retail services (pharmacy services), short acting method (family planning), screening using via/vili (cancer screening), prostate (cancer screening), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), general outpatient (curative services), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), minor theatre services (theatre services), maternity services (theatre services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), general emergency services (accident and emergency casualty services), focused antenatal care (antenatal care), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), breast (cancer screening), basic services for gender based violence survivors (services for gender based violence survivors), basic physiotherapy (physio therapy), basic occupational therapy-all (occupational therapy), basic obstetric care (bmoc) (maternity services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services), dental"
Mandera County Referral Hospital,TRUE,TRUE,Mandera,Mandera East,Diagnosis and Treatment,4,primary care hospitals,mandera,mandera east,neboi,3.941474835,41.86192201,-,128,0,5,0,0,0,0,0,0,0,no data
Marimanti S/C Hosp,TRUE,TRUE,Tharaka Nithi,Tharaka,Diagnosis and Treatment,4,primary care hospitals,tharaka nithi,tharaka south,marimanti,-0.15802,37.97501,located near tharaka south headquarters near marimanti market,54,0,0,0,0,0,0,0,0,0,"permanent (family planning), paediatric outpatient clinic (specialized outpatients clinic), general outpatient (curative services), othorpaedic basic services (rehabilitation services), orthopaedic basic services (orthopaedic technology services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), nutrition assessment ,counselling and support ( the nacs process) for plhivs (hiv/aids prevention and care services), new born care service (newborn care service), medical outpatient clinic (specialized outpatients clinic), management of sexually transmitted illness (sti) (hiv/aids prevention and care services), long acting method (family planning), intergrated opthalmic services with health facility-eye disorders including impairment,eye care routine, eye examination and surgery (ophthalmic services), integrated management of newborn & childhood illnesses (integrated management of childhood illness), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hpv test (cancer screening), hospital-retail service (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), hiv preventive package (hiv/aids prevention and care services), hei - hiv exposed infants (hiv/aids prevention and care services), gynaecology out-patient clinic (specialized outpatients clinic), growth monitoring (nutrition services), genexpert (tuberculosis diagnosis), general radiography services (radiology and imaging), general emergency  services (accident and emergency casualty services), general emergency services (accident and emergency casualty services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), facility accredited by nhif (nhif accreditation status), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), multi-drug resistant tuberculosis treatment (tuberculosis treatments), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive services for gender- based- violence survivors (services for gender based violence survivors), comprehensive mortuary services (mortuary services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive-management of life-threatening new born complications (newborn care service), comprehensive imci-resuscitation services (integrated management of childhood illness), comprehensive emergency preparedness -basic life support (emergency preparedness), class c (laboratory services), breast (cancer screening), blood bank (blood services), basic yfs-service to the youth offered alongside other services (youth friendly services), basic services for gender based violence survivors (services for gender based violence survivors), basic physiotherapy (physio therapy), basic- perform basic neonatal resuscitation (newborn care service), basic occupational therapy-all (occupational therapy), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Marsarbit County Referral Hospital,TRUE,TRUE,Marsabit,North Hor,Diagnosis and Treatment,4,primary care hospitals,marsabit,saku,marsabit central,2.32392,37.99097,-,109,0,0,42,5,3,3,12,1,1,"post-exposure prophylaxis (pep) (hiv/aids prevention and care services), permanent (family planning), pap smear (cancer screening), paediatric outpatient clinic (specialized outpatients clinic), general outpatient (curative services), orthopaedic basic services (orthopaedic technology services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), nutrition assessment ,counselling and support ( the nacs process) for plhivs (hiv/aids prevention and care services), new born care service (newborn care service), natural (family planning), multiple micronutrients (nutrition services), minor theatre services (theatre services), medical outpatient clinic (specialized outpatients clinic), maternity services (theatre services), management of sexually transmitted illness (sti) (hiv/aids prevention and care services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), icu services (icu services), hospital - retail services (pharmacy services), hospital-retail service (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), hiv preventive package (hiv/aids prevention and care services), high dependency services (specialized in-patient services), high depedency services (high dependency services), hei - hiv exposed infants (hiv/aids prevention and care services), gynaecology out-patient clinic (specialized outpatients clinic), growth monitoring (nutrition services), genexpert (tuberculosis diagnosis), general radiography services (radiology and imaging), general theatre services (theatre services), general emergency  services (accident and emergency casualty services), general emergency services (accident and emergency casualty services), focused antenatal care (antenatal care), fine needle aspiration (tuberculosis diagnosis), facility offering blood transfusion service (blood services), facility accredited by nhif (nhif accreditation status), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), multi-drug resistant tuberculosis treatment (tuberculosis treatments), dialysis (renal services), ct scans (radiology and imaging), cryotherapy (oncology services), counselling for oncology services (oncology services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive services for gender- based- violence survivors (services for gender based violence survivors), comprehensive -collection, preservation and analysis of evidence (forensic services), comprehensive mortuary services (mortuary services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive-management of life-threatening new born complications (newborn care service), comprehensive imci-resuscitation services (integrated management of childhood illness), breast (cancer screening), blood bank (blood services), basic yfs-service to the youth offered alongside other services (youth friendly services), basic services for gender based violence survivors (services for gender based violence survivors), basic physiotherapy (physio therapy), basic- perform basic neonatal resuscitation (newborn care service), basic occupational therapy-all (occupational therapy), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), basic -collection and preservation of evidence (forensic services), barium meal (radiology and imaging), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Merti Health Centre,TRUE,TRUE,Isiolo,Merti,Diagnosis and Treatment,4,hospitals,isiolo,merti,cherab,1.06678,38.66636,-,10,0,10,10,4,0,0,0,1,0,"general emergency  services (accident and emergency casualty services), general emergency services (accident and emergency casualty services), accident and emergency casualty services (accident and emergency casualty services)"
Modogashe Hospital,TRUE,TRUE,Garissa,Lagdera,Diagnosis and Treatment,4,primary care hospitals,garissa,lagdera,modogashe,0.73257,39.18564,-,20,0,3,0,0,0,0,0,0,0,"tuberculosis treatment (tuberculosis treatments), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), satellite blood transfusion service (blood services), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), general outpatient (curative services), othorpaedic basic services (rehabilitation services), new born care service (newborn care service), natural (family planning), minor theatre services (theatre services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), genexpert (tuberculosis diagnosis), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), multi-drug resistant tuberculosis treatment (tuberculosis treatments), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive emergency preparedness -basic life support (emergency preparedness), class d (laboratory services), blood bank (blood services), basic obstetric care (bmoc) (maternity services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Moyale Sub county Referral Hospital,TRUE,TRUE,Marsabit,Moyale,Diagnosis and Treatment,4,primary care hospitals,marsabit,moyale,moyale township,3.52254,39.05001,-,120,0,0,0,0,0,0,0,0,0,"xray (tuberculosis diagnosis), vaccination services given to travellers (immunisation), tuberculosis treatment (tuberculosis treatments), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), specialised dental services (dental services), smear microscopy (tuberculosis diagnosis), skin clinic (specialized outpatients clinic), short acting method (family planning), screening using via/vili (cancer screening), permanent (family planning), pap smear (cancer screening), general outpatient (curative services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), natural (family planning), minor theatre services (theatre services), maternity services (theatre services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), gynaecology out-patient clinic (specialized outpatients clinic), general theatre services (theatre services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), ear, nose and throat services (specialized outpatients clinic), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), class c (laboratory services), class b (laboratory services), class a (laboratory services), breast (cancer screening), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Mwingi Level 4 Hospital,TRUE,TRUE,Kitui,Mwingi Central,Diagnosis and Treatment,4,primary care hospitals,kitui,mwingi central,central,-0.94245,38.06527,off nzeluni road,211,0,6,44,0,0,0,17,1,1,"screening using via/vili (cancer screening), prostate (cancer screening), pap smear (cancer screening), general emergency services (accident and emergency casualty services), coloreactal (cancer screening), breast (cancer screening), fine needle aspiration (tuberculosis diagnosis), specialised physiotherapy (physio therapy), specialised occupational therapy - includes paediatric (occupational therapy), orthopaedic surgeries (orthopaedic technology services), counselling for oncology services (oncology services), comprehensive services for gender- based- violence survivors (services for gender based violence survivors), class e (laboratory services), class d (laboratory services), youth - friendly services (youth friendly services), tuberculosis treatment (tuberculosis treatments), multi-drug resistant tuberculosis treatment (tuberculosis treatments), xray (tuberculosis diagnosis), tuberculosis culture (tuberculosis diagnosis), smear microscopy (tuberculosis diagnosis), genexpert (tuberculosis diagnosis), minor theatre services (theatre services), general theatre services (theatre services), surgical outpatient clinic (specialized outpatients clinic), skin clinic (specialized outpatients clinic), paediatric outpatient clinic (specialized outpatients clinic), opthamology (specialized outpatients clinic), medical outpatient clinic (specialized outpatients clinic), gynaecology out-patient clinic (specialized outpatients clinic), ear, nose and throat services (specialized outpatients clinic), basic services for gender based violence survivors (services for gender based violence survivors), othorpaedic basic services (rehabilitation services), orthopaedic procedures (orthopaedic technology services), basic physiotherapy (physio therapy), basic occupational therapy-all (occupational therapy), utra-sound (radiology and imaging), specialised x-ray (radiology and imaging), general radiography services (radiology and imaging), barium meal (radiology and imaging), postnatal care services (postnatal care services), hospital - retail services (pharmacy services), ophthalmic services (ophthalmic services1), new born care service (newborn care service), specialised mental health services - vocational and medical rehabilitation centres (mental health services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive mortuary services (mortuary services), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), class f (laboratory services), class c (laboratory services), class b (laboratory services), class a (laboratory services), integrated management of newborn & childhood illnesses (integrated management of childhood illness), vaccination services given to travellers (immunisation), tt toxoid for pregnant women (immunisation), child immunization (intergrated immunization), specialised dental services (dental services), specialised anc -high risk pregnancy (antenatal care), short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), permanent (family planning), general outpatient (curative services), natural (family planning), long acting method (family planning), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive emergency preparedness -basic life support (emergency preparedness), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Nakwamoru Health Centre,TRUE,TRUE,Turkana,Turkana South,Diagnosis and Treatment,3,basic health centre,turkana,aroo,kaputir,2.053920183,35.43135348,-,40,0,4,0,0,0,0,0,0,0,"youth - friendly services (youth friendly services), tuberculosis treatment (tuberculosis treatments), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), general outpatient (curative services), natural (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care), multi-drug resistant tuberculosis treatment (tuberculosis treatments), condom distribution & sti prevention (hiv/aids prevention and care services), class b (laboratory services), basic services for gender based violence survivors (services for gender based violence survivors), basic obstetric care (bmoc) (maternity services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
