Health_Facilities,has_diagnosis,has_treatment,Counties.in.Kenya,Subcounty,VL_Facility_Type,level,facility_type,kmhfr_county,kmhfr_sub_county,kmhfr_ward,latitude,longitude,description,total_inpatient_beds,general_inpatient_beds,cots,maternity_beds,emergency_casualty_beds,icu_beds,hdu_beds,isolation_beds,general_theatres,maternity_theatres,services
Isiolo District Hospital,TRUE,TRUE,Isiolo,Isiolo,Diagnosis and Treatment,5,secondary care hospitals,isiolo,isiolo,wabera,0.3658,37.58997,-,0,0,35,40,4,7,0,0,1,0,"paediatric outpatient clinic (specialized outpatients clinic), general outpatient (curative services), othorpaedic basic services (rehabilitation services), orthopaedic procedures (orthopaedic technology services), orthopaedic basic services (orthopaedic technology services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), nutrition assessment ,counselling and support ( the nacs process) for plhivs (hiv/aids prevention and care services), new born care service (newborn care service), natural (family planning), multiple micronutrients (nutrition services), minor theatre services (theatre services), medical outpatient clinic (specialized outpatients clinic), maternity services (theatre services), management of sexually transmitted illness (sti) (hiv/aids prevention and care services), major theatre services (theatre services), long acting method (family planning), leprosy treatment (leprosy treatment), intergrated opthalmic services with health facility-eye disorders including impairment,eye care routine, eye examination and surgery (ophthalmic services), integrated management of newborn & childhood illnesses (integrated management of childhood illness), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), icu services (icu services), hospital - retail services (pharmacy services), hospital-retail service (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), hiv preventive package (hiv/aids prevention and care services), high dependency services (specialized in-patient services), high depedency services (high dependency services), hei - hiv exposed infants (hiv/aids prevention and care services), gynaecology out-patient clinic (specialized outpatients clinic), growth monitoring (nutrition services), genexpert (tuberculosis diagnosis), general radiography services (radiology and imaging), general theatre services (theatre services), general emergency  services (accident and emergency casualty services), general emergency services (accident and emergency casualty services), focused antenatal care (antenatal care), fine needle aspiration (tuberculosis diagnosis), facility offering blood transfusion service (blood services), facility accredited by nhif (nhif accreditation status), ear, nose and throat services (specialized outpatients clinic), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), multi-drug resistant tuberculosis treatment (tuberculosis treatments), dialysis (renal services), ct scans (radiology and imaging), counselling for oncology services (oncology services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive yfs-separate building (youth centre) with recreation facilities (youth friendly services), comprehensive services for gender- based- violence survivors (services for gender based violence survivors), comprehensive mental health service - integrated, promotive, preventive, curative and rehabilitative mental health services, medical assisted therapy (mental health services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive-management of life-threatening new born complications (newborn care service), comprehensive imci-resuscitation services (integrated management of childhood illness), comprehensive emergency preparedness -basic life support (emergency preparedness), class f (laboratory services), class e (laboratory services), class d (laboratory services), class c (laboratory services), class b (laboratory services), class a (laboratory services), breast (cancer screening), blood bank (blood services), blood bank (blood services), basic yfs-service to the youth offered alongside other services (youth friendly services), basic services for gender based violence survivors (services for gender based violence survivors), basic physiotherapy (physio therapy), basic- perform basic neonatal resuscitation (newborn care service), basic occupational therapy-all (occupational therapy), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), basic -collection and preservation of evidence (forensic services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Kaapoka Health Centre,TRUE,TRUE,Turkana,Turkana North,Diagnosis and Treatment,3,basic health centre,turkana,turkana west,kakuma,3.7301981,34.843963,refugee camp kakuma,20,0,6,0,0,0,0,0,0,0,"general outpatient (curative services), new born care service (newborn care service), natural (family planning), multiple micronutrients (nutrition services), management of sexually transmitted illness (sti) (hiv/aids prevention and care services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hospital-retail service (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hei - hiv exposed infants (hiv/aids prevention and care services), growth monitoring (nutrition services), focused antenatal care (antenatal care), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive-management of life-threatening new born complications (newborn care service), comprehensive imci-resuscitation services (integrated management of childhood illness), basic- perform basic neonatal resuscitation (newborn care service), basic obstetric care (bmoc) (maternity services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services)"
Kacheliba Sub county H,TRUE,TRUE,West Pokot,Kacheliba,Diagnosis and Treatment,4,primary care hospitals,west pokot,kacheliba,suam,1.490037098,35.01020793,along alale road,99,0,3,19,0,0,0,0,0,1,"orthopaedic basic services (orthopaedic technology services), ophthalmic services (ophthalmic services1), minor theatre services (theatre services), maternity services (theatre services), intergrated opthalmic services with health facility-eye disorders including impairment,eye care routine, eye examination and surgery (ophthalmic services), integrated management of newborn & childhood illnesses (integrated management of childhood illness), hpv test (cancer screening), hiv preventive package (hiv/aids prevention and care services), hei - hiv exposed infants (hiv/aids prevention and care services), general radiography services (radiology and imaging), focused antenatal care (antenatal care), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive imci-resuscitation services (integrated management of childhood illness), basic services for gender based violence survivors (services for gender based violence survivors), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), tuberculosis treatment (tuberculosis treatments), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), general outpatient (curative services), new born care service (newborn care service), long acting method (family planning), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), genexpert (tuberculosis diagnosis), fine needle aspiration (tuberculosis diagnosis), facility offering blood transfusion service (blood services), multi-drug resistant tuberculosis treatment (tuberculosis treatments), condom distribution & sti prevention (hiv/aids prevention and care services), class c (laboratory services), class b (laboratory services), class a (laboratory services), breast (cancer screening), basic obstetric care (bmoc) (maternity services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services)"
Kaikor Health Centre,TRUE,TRUE,Turkana,Turkana North,Diagnosis and Treatment,,,,,,4.51907594,35.42448672,,,,,,,,,,,,
Kainuk Health Centre,TRUE,TRUE,Turkana,Turkana South,Diagnosis and Treatment,3,basic health centre,turkana,aroo,lobokat,1.84694,35.6562,kitale -lodwar road,6,0,1,4,0,0,0,0,0,0,"youth - friendly services (youth friendly services), tuberculosis treatment (tuberculosis treatments), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), postnatal care services (postnatal care services), general outpatient (curative services), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), hospital - retail services (pharmacy services), focused antenatal care (antenatal care), multi-drug resistant tuberculosis treatment (tuberculosis treatments), class b (laboratory services), basic services for gender based violence survivors (services for gender based violence survivors), basic obstetric care (bmoc) (maternity services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services)"
Kajiado County Referral Hospital,TRUE,TRUE,Kajiado,Kajiado Central,Diagnosis and Treatment,4,primary care hospitals,kajiado,kajiado central,ildamat,-1.85775,36.77214,hospital road,138,0,4,0,0,0,0,0,0,0,"permanent (family planning), pap smear (cancer screening), paediatric outpatient clinic (specialized outpatients clinic), general outpatient (curative services), othorpaedic basic services (rehabilitation services), orthopaedic surgeries (orthopaedic technology services), orthopaedic procedures (orthopaedic technology services), orthopaedic basic services (orthopaedic technology services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), multiple micronutrients (nutrition services), mri (radiology and imaging), minor theatre services (theatre services), medical outpatient clinic (specialized outpatients clinic), maternity services (theatre services), major theatre services (theatre services), long acting method (family planning), intergrated opthalmic services with health facility-eye disorders including impairment,eye care routine, eye examination and surgery (ophthalmic services), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), inpatient (curative services), icu services (icu services), hospital-retail service (pharmacy services), hiv treatment and care (hiv treatment), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), hiv preventive package (hiv/aids prevention and care services), hei - hiv exposed infants (hiv/aids prevention and care services), gynaecology out-patient clinic (specialized outpatients clinic), growth monitoring (nutrition services), genexpert (tuberculosis diagnosis), general radiography services (radiology and imaging), general theatre services (theatre services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), facility accredited by nhif (nhif accreditation status), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), multi-drug resistant tuberculosis treatment (tuberculosis treatments), dialysis (renal services), ct scans (radiology and imaging), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive-management of life-threatening new born complications (newborn care service), coloreactal (cancer screening), class c (laboratory services), breast (cancer screening), blood bank (blood services), basic yfs-service to the youth offered alongside other services (youth friendly services), basic services for gender based violence survivors (services for gender based violence survivors), basic- perform basic neonatal resuscitation (newborn care service), basic occupational therapy-all (occupational therapy), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services)"
Kakuma Health Centre,TRUE,TRUE,Turkana,Turkana North,Diagnosis and Treatment,4,hospitals,turkana,turkana west,kakuma,3.707002091,34.88193006,-,21,16,2,5,0,0,0,0,0,0,"post-exposure prophylaxis (pep) (hiv/aids prevention and care services), general outpatient (curative services), othorpaedic basic services (rehabilitation services), orthopaedic procedures (orthopaedic technology services), orthopaedic basic services (orthopaedic technology services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), nutrition assessment ,counselling and support ( the nacs process) for plhivs (hiv/aids prevention and care services), new born care service (newborn care service), natural (family planning), management of sexually transmitted illness (sti) (hiv/aids prevention and care services), long acting method (family planning), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hospital-retail service (pharmacy services), hospice service (hospice service), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), hiv preventive package (hiv/aids prevention and care services), hei - hiv exposed infants (hiv/aids prevention and care services), growth monitoring (nutrition services), general emergency  services (accident and emergency casualty services), general emergency services (accident and emergency casualty services), focused antenatal care (antenatal care), facility accredited by nhif (nhif accreditation status), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive services for gender- based- violence survivors (services for gender based violence survivors), class b (laboratory services), basic yfs-service to the youth offered alongside other services (youth friendly services), basic services for gender based violence survivors (services for gender based violence survivors), basic physiotherapy (physio therapy), basic- perform basic neonatal resuscitation (newborn care service), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services)"
Kakuma Mission Hospital,TRUE,TRUE,Turkana,Turkana North,Diagnosis and Treatment,4,primary care hospitals,turkana,turkana west,kakuma,3.712010929,34.86138731,-,57,0,2,0,0,0,0,0,0,0,"youth - friendly services (youth friendly services), utra-sound (radiology and imaging), tt toxoid for pregnant women (immunisation), specialised x-ray (radiology and imaging), skin clinic (specialized outpatients clinic), postnatal care services (postnatal care services), paediatric outpatient clinic (specialized outpatients clinic), general outpatient (curative services), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), minor theatre services (theatre services), medical outpatient clinic (specialized outpatients clinic), general theatre services (theatre services), leprosy treatment (leprosy treatment), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), gynaecology out-patient clinic (specialized outpatients clinic), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive mortuary services (mortuary services), class f (laboratory services), class e (laboratory services), class d (laboratory services), class c (laboratory services), class b (laboratory services), class a (laboratory services), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), barium meal (radiology and imaging), ambulatory services (ambulatory services)"
Kanamkemer Sub county Hospital,TRUE,TRUE,Turkana,Loima,Diagnosis and Treatment,4,primary care hospitals,turkana,turkana central,kanamkemer,3.101210663,35.60136046,"past idp camp, adjacent to the county medical store",0,18,0,3,0,0,0,0,0,0,"vaccination services given to travellers (immunisation), tt toxoid for pregnant women (immunisation), short acting method (family planning), postnatal care services (postnatal care services), general outpatient (curative services), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care), condom distribution & sti prevention (hiv/aids prevention and care services), class a (laboratory services), basic obstetric care (bmoc) (maternity services), accident and emergency casualty services (accident and emergency casualty services)"
Kaputir Dispensary,TRUE,TRUE,Turkana,Turkana South,Diagnosis and Treatment,2,dispensary,turkana,aroo,kaputir,2.074989435,35.45513381,located along kitale lokichar road,4,0,0,0,0,0,0,0,0,0,"short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), ophthalmic services (ophthalmic services1), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care), condom distribution & sti prevention (hiv/aids prevention and care services), class a (laboratory services), basic services for gender based violence survivors (services for gender based violence survivors), basic obstetric care (bmoc) (maternity services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic emergency preparedness -advanced  life support (emergency preparedness), laboratory"
